jetz_scientific_name,city_count,region_count,presence_ratio,birdlife_v3_family_name,birdlife_v3_family_name_english
Sturnus_cineraceus,12,20,0.6,Sturnidae,Starlings
Xiphocolaptes_promeropirhynchus,0,6,0.0,Dendrocolaptidae,Woodcreepers
Anas_sparsa,4,7,0.571,Anatidae,"Ducks, geese and swans"
Calidris_alba,18,64,0.281,Scolopacidae,Sandpipers and allies
Centropus_grillii,0,5,0.0,Cuculidae,Cuckoos
Dacnis_cayana,6,10,0.6,Thraupidae,Tanagers
Melophus_lathami,1,18,0.056,Emberizidae,"Buntings, American sparrows and allies"
Eupetomena_macroura,7,7,1.0,Trochilidae,Hummingbirds
Hemitriccus_orbitatus,1,4,0.25,Tyrannidae,Tyrant-flycatchers
Leptopogon_amaurocephalus,2,5,0.4,Tyrannidae,Tyrant-flycatchers
Luscinia_svecica,14,77,0.182,Muscicapidae,Chats and Old World flycatchers
Sigelus_silens,2,4,0.5,Muscicapidae,Chats and Old World flycatchers
Melanitta_nigra,9,20,0.45,Anatidae,"Ducks, geese and swans"
Pericrocotus_erythropygius,0,11,0.0,Campephagidae,Cuckoo-shrikes
Pericrocotus_roseus,0,9,0.0,Campephagidae,Cuckoo-shrikes
Pogoniulus_pusillus,1,4,0.25,Ramphastidae,Toucans and barbets
Megalaima_rubricapillus,1,4,0.25,Ramphastidae,Toucans and barbets
Stiphrornis_erythrothorax,0,2,0.0,Muscicapidae,Chats and Old World flycatchers
Streptopelia_tranquebarica,13,43,0.302,Columbidae,Doves and pigeons
Thlypopsis_sordida,2,7,0.286,Thraupidae,Tanagers
Turdus_leucomelas,8,10,0.8,Turdidae,Thrushes
Ficedula_monileger,0,1,0.0,Muscicapidae,Chats and Old World flycatchers
Anthoscopus_caroli,0,4,0.0,Remizidae,Penduline-tits
Chrysococcyx_cupreus,1,6,0.167,Cuculidae,Cuckoos
Coeligena_prunellei,0,1,0.0,Trochilidae,Hummingbirds
Crypturellus_undulatus,0,1,0.0,Tinamidae,Tinamous
Dicaeum_sanguinolentum,1,1,1.0,Dicaeidae,Flowerpeckers
Hodgsonius_phaenicuroides,0,3,0.0,Muscicapidae,Chats and Old World flycatchers
Monarcha_cinerascens,0,1,0.0,Monarchidae,Monarchs
Chloephaga_melanoptera,1,1,1.0,Anatidae,"Ducks, geese and swans"
Phalacrocorax_carbo,50,78,0.641,Phalacrocoracidae,Cormorants
