"LOCALITY_ID","SAMPLE_ID"
"L6061678","0"
"L6001893","0"
"L6058752","0"
"L3901811","0"
"L1403154","0"
"L6372080","0"
"L5878876","0"
"L4190256","0"
"L6864233","0"
"L6432873","0"
"L6058902","0"
"L6001999","0"
"L952084","0"
"L3901781","0"
"L3267940","0"
"L9949025","0"
"L5912439","0"
"L1456256","0"
"L1465856","0"
"L6061649","0"
"L3884490","0"
"L4628522","0"
"L6574700","0"
"L1322316","0"
"L6001587","0"
"L1403135","0"
"L6809172","0"
"L5865564","0"
"L4578069","0"
"L8045901","0"
"L3901631","0"
"L8276914","0"
"L6058646","0"
"L5639234","0"
"L3914189","0"
"L4685319","0"
"L4858208","0"
"L6337687","0"
"L1203001","0"
"L1479678","0"
"L934775","0"
"L10088356","0"
"L6001975","0"
"L6052990","0"
"L6008975","0"
"L3345783","0"
"L922737","0"
"L6286799","0"
"L2266910","0"
"L1756248","0"
"L1435080","0"
"L4846143","0"
"L3912779","0"
"L4056550","0"
"L8584894","0"
"L2274752","0"
"L4836438","0"
"L5114084","0"
"L5276719","0"
"L6033751","0"
"L2027973","0"
"L4446807","0"
"L5279681","0"
"L4824770","0"
"L3064166","0"
"L3616944","0"
"L4631911","0"
"L5410213","0"
"L2740358","0"
"L2673184","0"
"L7809821","0"
"L1284567","0"
"L1987596","0"
"L5397317","0"
"L3058619","0"
"L3988807","0"
"L5677317","0"
"L2359524","0"
"L2763416","0"
"L5960477","0"
"L11364263","0"
"L4979330","0"
"L2304741","0"
"L3527501","0"
"L5201168","0"
"L976247","0"
"L1295521","0"
"L10182830","0"
"L10669930","0"
"L4837449","0"
"L5703813","0"
"L3175370","0"
"L6539233","0"
"L472208","0"
"L3521468","0"
"L4640176","0"
"L3998300","0"
"L5833784","0"
"L5118387","0"
"L2841148","0"
"L2975377","0"
"L2347597","0"
"L1471853","0"
"L4779635","0"
"L7424649","0"
"L9247574","0"
"L1294852","0"
"L4543005","0"
"L5000420","0"
"L5141689","0"
"L2499283","0"
"L1862586","0"
"L985178","0"
"L6669101","0"
"L5569728","0"
"L5269652","0"
"L5524073","0"
"L4440424","0"
"L3891375","0"
